ID	Label
1	vitiligo
2	patient
3	skin
4	author_information
5	treatment
6	disease
7	study
8	result
9	university
10	use
11	cell
12	melanocyte
13	department_dermatology
14	case
15	autoimmune
16	show
17	group
18	lesion
19	associate
20	may
21	clinical
22	disorder
23	department
24	report
25	therapy
26	method
27	include
28	repigmentation
29	conclusion
30	level
31	hospital
32	treat
33	present
34	association
35	also
36	control
37	response
38	two
39	increase
40	effect
41	melanoma
42	dermatology
43	find
44	compare
45	area
46	expression
47	type
48	one
49	human
50	psoriasis
51	medical
52	year
53	medicine
54	background
55	observe
56	activity
57	gene
58	depigmentation
59	pmcid
60	follow
61	normal
62	suggest
63	however
64	month
65	affect
66	high
67	well
68	develop
69	antibody
70	common
71	role
72	child
73	new
74	factor
75	serum
76	different
77	significant
78	cause
79	development
80	condition
81	three
82	cutaneous
83	usa
84	analysis
85	stable
86	pigmentation
87	evaluate
88	epidermal
89	pathogenesis
90	data
91	school_medicine
92	objective
93	phototherapy
94	involve
95	pigment
96	review
97	syndrome
98	protein
99	topical
100	research
101	identify
102	among
103	effective
104	population
105	demonstrate
106	number
107	induce
108	center
109	low
110	test
111	cancer
112	total
113	institute
114	melanocytes
115	perform
116	change
117	assess
118	active
119	age
120	target
121	could
122	first
123	determine
124	respectively
125	alopecia_areata
126	graft
127	occur
128	several
129	various
130	mean
131	segmental
132	base
133	presence
134	describe
135	prevalence
136	laser
137	without
138	generalize
139	subject
140	efficacy
141	lead
142	keratinocytes
143	culture
144	although
145	chronic
146	investigate
147	india
148	mouse
149	significantly
150	antigen
151	genetic
152	mechanism
153	week
154	epidermis
155	risk
156	potential
157	diagnosis
158	science
159	loss
160	see
161	measure
162	college_medicine
163	therapeutic
164	indicate
165	evidence
166	combination
167	many
168	onset
169	provide
170	model
171	time
172	finding
173	due
174	system
175	receive
176	possible
177	form
178	decrease
179	difference
180	function
181	nb-uvb
182	reveal
183	puva
184	site
185	score
186	pattern
187	specific
188	tumor
189	good
190	important
191	multiple
192	china
193	aim
194	laboratory
195	obtain
196	frequency
197	addition
198	within
199	transplantation
200	individual
201	oxidative_stress
202	rare
203	patch
204	receptor
205	faculty_medicine
206	detect
207	polymorphism
208	drug
209	immune
210	primary
211	appear
212	consider
213	diseases
214	reaction
215	technique
216	autoimmunity
217	duration
218	quality_life
219	tyrosinase
220	oral
221	positive
222	rate
223	systemic
224	examine
225	need
226	process
227	inflammatory
228	history
229	agent
230	evaluation
231	vitamin
232	characterize
233	com
234	hair
235	tissue
236	improvement
237	similar
238	clinic
239	four
240	autoantibody
241	melanin
242	combine
243	national
244	medical_science
245	complete
246	new_york
247	adult
248	relationship
249	concentration
250	side_effect
251	article
252	often
253	large
254	remain
255	achieve
256	less
257	whereas
258	manifestation
259	reduce
260	involvement
261	express
262	know
263	activation
264	period
265	application
266	approach
267	outcome
268	management
269	progressive
270	especially
271	support
272	trial
273	health
274	require
275	vulgaris
276	day
277	early
278	five
279	experience
280	great
281	dose
282	region
283	vitro
284	cytokine
285	improve
286	confirm
287	either
288	surgery
289	healthy_control
290	family
291	available
292	novel
293	allele
294	light
295	susceptibility
296	comparison
297	female
298	marker
299	electronic_address
300	value
301	significantly_high
302	woman
303	medical_center
304	via
305	exposure
306	therefore
307	assessment
308	compare_control
309	complex
310	mutation
311	apply
312	range
313	accord
314	might
315	acquire
316	antioxidant
317	assay
318	extract
319	blood
320	childhood
321	major
322	medical_college
323	pathway
324	progression
325	literature
326	apoptosis
327	compound
328	depigmented
329	regard
330	thus
331	establish
332	inhibitor
333	stress
334	dermatologist
335	influence
336	life
337	diagnose
338	relate
339	discuss
340	distribution
341	feature
342	incidence
343	give
344	follow-up
345	severe
346	control_group
347	non-segmental
348	body
349	examination
350	localize
351	molecular
352	produce
353	eye
354	vivo
355	current
356	sample
357	and/or
358	dermatosis
359	genotype
360	previous
361	atopic_dermatitis
362	course
363	male
364	contain
365	recently
366	analyze
367	edu
368	procedure
369	six
370	make
371	stage
372	thyroid
373	cellular
374	characteristic
375	correlation
376	overall
377	significant_difference
378	direct
379	investigation
380	observation
381	part
382	recent
383	statistically_significant
384	symptom
385	hair_follicle
386	correlate
387	impact
388	proliferation
389	represent
390	infection
391	purpose
392	state
393	unit
394	centre
395	design
396	immunotherapy
397	note
398	seem
399	surgical
400	enhance
401	production
402	propose
403	face
404	frequently
405	alopecia
406	functional
407	medical_school
408	previously
409	component
410	damage
411	dermatologic
412	melanogenesis
413	lymphocyte
414	questionnaire
415	variant
416	stem_cell
417	immune_response
418	signal
419	event
420	lack
421	still
422	cd8_cell
423	clinically
424	conduct
425	profile
426	turkey
427	address
428	carry
429	limit
430	long-term
431	select
432	abnormality
433	right_reserve
434	absence
435	local
436	biological
437	excimer_laser
438	appearance
439	author
440	dna
441	frequent
442	take
443	dermatological
444	ratio
445	chemical
446	deficiency
447	division
448	occurrence
449	record
450	uvb
451	define
452	information
453	migration
454	aim_study
455	hypothesis
456	alone
457	material_method
458	cream
459	age_year
460	hypopigmentation
461	korea
462	extensive
463	leukoderma
464	moreover
465	scale
466	small
467	dermatitis
468	lichen_planus
469	initial
470	main
471	since
472	radiation
473	nonsegmental
474	psychological
475	growth
476	qol
477	clinical_trial
478	etiology
479	participant
480	italy
481	negative
482	percentage
483	article_german
484	vitiliginous
485	activate
486	complication
487	family_history
488	survival
489	even
490	index
491	mean_age
492	pediatric
493	peptide
494	respond
495	surface
496	furthermore
497	general
498	yahoo_com
499	cosmetic
500	stain
501	enzyme
502	immunology
503	phase
504	screen
505	single
506	work
507	additional
508	biology
509	dermatology_venereology
510	nsv
511	type_diabetes
512	extent
513	oncology
514	second
515	whether
516	hand
517	inflammation
518	seven
519	understand
520	metastatic_melanoma
521	autoimmune_diseases
522	autoimmune_thyroid
523	liver
524	sign
525	aspect
526	end
527	japan
528	particularly
529	pigmentary_disorder
530	saudi_arabia
531	variable
532	brazil
533	severity
534	side
535	acid
536	rome_italy
537	facial
538	grade
539	malignant_melanoma
540	meta-analysis
541	college
542	cytotoxic
543	session
544	induction
545	parameter
546	versus
547	degree
548	germany
549	plasma
550	article_french
551	care
552	erythema
553	program
554	intervention
555	order
556	peripheral_blood
557	strong
558	autologous
559	pathology
560	search
561	usually
562	advance
563	diabetes
564	lee
565	mild
566	nevus
567	toxicity
568	color
569	contribute
570	rheumatoid_arthritis
571	size
572	adverse_effect
573	france
574	hypothyroidism
575	med
576	phenomenon
577	white
578	308-nm_excimer
579	diabetes_mellitus
580	psoralen
581	publish
582	puva_therapy
583	seoul_korea
584	ultraviolet
585	dermal
586	ocular
587	biopsy
588	cohort
589	donor
590	elevate
591	focus
592	formation
593	healthy
594	new_delhi
595	plus
596	suffer
597	venereology
598	like
599	trigger
600	antigens
601	focal
602	link
603	problem
604	start
605	benefit
606	immunity
607	thyroid_disease
608	average
609	effectiveness
610	exist
611	hyperpigmentation
612	john_wiley
613	likely
614	randomize
615	suction_blister
616	explore
617	immunological
618	presentation
619	jaad
